pre_rand,0:00:28.402081,100
pre_hill,0:00:25.352437,370
pre_anneal,0:00:25.190388,1242
karmarkar,0:00:00.002959,410853
random,0:00:02.313495,73623907
hill,0:00:00.375092,193750883
anneal,0:00:00.408254,119552965
pre_rand,0:00:28.584713,337
pre_hill,0:00:25.290643,375
pre_anneal,0:00:25.125107,397
karmarkar,0:00:00.004070,65806
random,0:00:02.491750,66673884
hill,0:00:00.396884,443021870
anneal,0:00:00.410165,299491488
pre_rand,0:00:28.060751,232
pre_hill,0:00:25.017902,296
pre_anneal,0:00:25.190329,1554
karmarkar,0:00:00.002323,317410
random,0:00:02.342586,131940614
hill,0:00:00.388537,423173122
anneal,0:00:00.404768,56064220
pre_rand,0:00:28.153865,182
pre_hill,0:00:24.698172,1002
pre_anneal,0:00:23.611823,1452
karmarkar,0:00:00.002966,77608
random,0:00:02.206240,216884026
hill,0:00:00.368615,21460938
anneal,0:00:00.391915,400969524
pre_rand,0:00:26.481342,56
pre_hill,0:00:25.479886,238
pre_anneal,0:00:25.395699,1138
karmarkar,0:00:00.003213,476532
random,0:00:02.133305,142953718
hill,0:00:00.363533,73626324
anneal,0:00:00.373591,354932222
pre_rand,0:00:26.094161,782
pre_hill,0:00:24.401366,100
pre_anneal,0:00:25.994344,1548
karmarkar,0:00:00.003533,57170
random,0:00:02.442300,280060980
hill,0:00:00.395405,431314140
anneal,0:00:00.436400,531955590
pre_rand,0:00:28.837380,158
pre_hill,0:00:23.998842,160
pre_anneal,0:00:23.261003,2430
karmarkar,0:00:00.003372,23683
random,0:00:02.194433,439516491
hill,0:00:00.349165,2363569
anneal,0:00:00.367669,241737021
pre_rand,0:00:25.690308,383
pre_hill,0:00:23.053062,129
pre_anneal,0:00:23.526932,3763
karmarkar,0:00:00.003065,66147
random,0:00:02.074987,726968285
hill,0:00:00.341122,291490611
anneal,0:00:00.361639,87815419
pre_rand,0:00:25.580583,31
pre_hill,0:00:22.994043,395
pre_anneal,0:00:23.171954,179
karmarkar,0:00:00.002900,721935
random,0:00:02.137645,505423693
hill,0:00:00.347449,62782769
anneal,0:00:00.360243,133600231
pre_rand,0:00:25.836951,135
pre_hill,0:00:23.120109,443
pre_anneal,0:00:22.973350,317
karmarkar,0:00:00.003080,30834
random,0:00:02.201627,82152934
hill,0:00:00.372860,267503510
anneal,0:00:00.360756,178834738
pre_rand,0:00:25.653838,196
pre_hill,0:00:23.152276,250
pre_anneal,0:00:23.112313,562
karmarkar,0:00:00.002447,117931
random,0:00:02.155457,137714283
hill,0:00:00.366961,84917837
anneal,0:00:00.371410,30200361
pre_rand,0:00:26.324546,91
pre_hill,0:00:22.794717,41
pre_anneal,0:00:22.926737,5317
karmarkar,0:00:00.003533,279255
random,0:00:02.146922,721098651
hill,0:00:00.366394,190129587
anneal,0:00:00.384310,296916853
pre_rand,0:00:25.619367,39
pre_hill,0:00:23.019228,107
pre_anneal,0:00:24.312114,435
karmarkar,0:00:00.003058,52142
random,0:00:02.331163,202667808
hill,0:00:00.486486,240888368
anneal,0:00:00.415023,1016008024
pre_rand,0:00:29.760057,50
pre_hill,0:00:22.853795,314
pre_anneal,0:00:22.652336,1942
karmarkar,0:00:00.003160,621902
random,0:00:02.083542,900027794
hill,0:00:00.345743,211771660
anneal,0:00:00.362976,549820442
pre_rand,0:00:25.129226,54
pre_hill,0:00:22.820887,50
pre_anneal,0:00:22.932378,1562
karmarkar,0:00:00.002749,30927
random,0:00:02.131060,185902561
hill,0:00:00.342922,125216929
anneal,0:00:00.357815,17694601
pre_rand,0:00:25.628199,181
pre_hill,0:00:23.111687,19
pre_anneal,0:00:23.681753,3309
karmarkar,0:00:00.002801,292731
random,0:00:02.176773,53225287
hill,0:00:00.364496,358710395
anneal,0:00:00.358332,245764287
pre_rand,0:00:25.649189,159
pre_hill,0:00:23.024279,11
pre_anneal,0:00:23.199014,881
karmarkar,0:00:00.003151,90658
random,0:00:02.303240,1065354202
hill,0:00:00.383923,1669707280
anneal,0:00:00.367065,15353944
pre_rand,0:00:25.493277,26
pre_hill,0:00:22.730649,2
pre_anneal,0:00:22.685036,382
karmarkar,0:00:00.003895,178265
random,0:00:02.124628,23267657
hill,0:00:00.337013,234056181
anneal,0:00:00.355858,513723479
pre_rand,0:00:25.429770,101
pre_hill,0:00:22.821085,191
pre_anneal,0:00:23.098367,1947
karmarkar,0:00:00.002688,55793
random,0:00:02.142619,24373479
hill,0:00:00.334096,115051421
anneal,0:00:00.382067,130697315
pre_rand,0:00:25.764204,309
pre_hill,0:00:22.842165,7
pre_anneal,0:00:23.012794,69
karmarkar,0:00:00.003251,161105
random,0:00:02.115045,803979005
hill,0:00:00.355370,4824805
anneal,0:00:00.374787,118026095
pre_rand,0:00:25.647657,281
pre_hill,0:00:22.918884,659
pre_anneal,0:00:22.967677,1441
karmarkar,0:00:00.002760,251326
random,0:00:02.113521,113070992
hill,0:00:00.337728,24716308
anneal,0:00:00.362489,327779002
pre_rand,0:00:25.956559,58
pre_hill,0:00:23.062481,102
pre_anneal,0:00:22.911744,816
karmarkar,0:00:00.003109,147577
random,0:00:02.113785,235984291
hill,0:00:00.336592,83420201
anneal,0:00:00.392375,660390313
pre_rand,0:00:25.629208,89
pre_hill,0:00:22.968344,51
pre_anneal,0:00:22.838267,1931
karmarkar,0:00:00.002493,195144
random,0:00:02.178840,131414178
hill,0:00:00.371975,462462756
anneal,0:00:00.367603,493561076
pre_rand,0:00:25.599614,38
pre_hill,0:00:23.049170,12
pre_anneal,0:00:23.276923,74
karmarkar,0:00:00.002650,162822
random,0:00:02.125025,56648124
hill,0:00:00.354184,131712430
anneal,0:00:00.391728,17295938
pre_rand,0:00:25.646693,302
pre_hill,0:00:22.998015,46
pre_anneal,0:00:23.250005,166
karmarkar,0:00:00.003741,230297
random,0:00:02.124817,46258165
hill,0:00:00.365293,10647079
anneal,0:00:00.389826,244553971
pre_rand,0:00:25.704802,41
pre_hill,0:00:22.992444,33
pre_anneal,0:00:23.046701,2095
karmarkar,0:00:00.002416,16334
random,0:00:02.117102,750434122
hill,0:00:00.364581,205897610
anneal,0:00:00.353436,89251060
pre_rand,0:00:25.558528,46
pre_hill,0:00:22.979781,48
pre_anneal,0:00:22.989202,346
karmarkar,0:00:00.002517,347580
random,0:00:02.135188,125834458
hill,0:00:00.336770,23701768
anneal,0:00:00.391521,436877684
pre_rand,0:00:25.562520,8
pre_hill,0:00:22.703588,96
pre_anneal,0:00:22.985987,1130
karmarkar,0:00:00.003427,181808
random,0:00:02.074978,806493386
hill,0:00:00.361972,27497026
anneal,0:00:00.383314,40303754
pre_rand,0:00:25.796707,104
pre_hill,0:00:23.846214,128
pre_anneal,0:00:22.801299,744
karmarkar,0:00:00.003177,308643
random,0:00:02.085501,22814479
hill,0:00:00.339069,39596653
anneal,0:00:00.356146,105779927
pre_rand,0:00:25.348046,279
pre_hill,0:00:23.074806,239
pre_anneal,0:00:22.879227,217
karmarkar,0:00:00.002292,144736
random,0:00:02.156222,620959108
hill,0:00:00.354158,316565140
anneal,0:00:00.388770,1369296170
pre_rand,0:00:25.596551,36
pre_hill,0:00:23.156206,92
pre_anneal,0:00:23.064267,146
karmarkar,0:00:00.002125,85467
random,0:00:02.159887,190538603
hill,0:00:00.338291,889441669
anneal,0:00:00.352875,188762587
pre_rand,0:00:25.713201,141
pre_hill,0:00:23.103095,13
pre_anneal,0:00:23.557910,875
karmarkar,0:00:00.003115,53475
random,0:00:02.053852,477359119
hill,0:00:00.372646,51196099
anneal,0:00:00.379733,306834125
pre_rand,0:00:25.693110,111
pre_hill,0:00:23.215213,85
pre_anneal,0:00:23.196419,1149
karmarkar,0:00:00.002034,124715
random,0:00:02.136085,189511007
hill,0:00:00.336033,65851391
anneal,0:00:00.354758,557895997
pre_rand,0:00:25.927242,243
pre_hill,0:00:23.000395,3
pre_anneal,0:00:23.077344,587
karmarkar,0:00:00.003881,433357
random,0:00:02.184315,720511031
hill,0:00:00.337178,558752851
anneal,0:00:00.367163,527480099
pre_rand,0:00:25.707130,107
pre_hill,0:00:22.910549,45
pre_anneal,0:00:22.909315,35
karmarkar,0:00:00.003204,6027
random,0:00:02.182452,162159605
hill,0:00:00.363184,264010847
anneal,0:00:00.357107,920605421
pre_rand,0:00:25.671209,409
pre_hill,0:00:23.033766,381
pre_anneal,0:00:22.852321,979
karmarkar,0:00:00.003390,501784
random,0:00:02.090790,34501288
hill,0:00:00.337073,405251486
anneal,0:00:00.356548,34770464
pre_rand,0:00:25.616094,56
pre_hill,0:00:22.986181,148
pre_anneal,0:00:22.966702,2128
karmarkar,0:00:00.002780,33139
random,0:00:02.180125,880547429
hill,0:00:00.340563,9656845
anneal,0:00:00.356002,184070575
pre_rand,0:00:25.603932,659
pre_hill,0:00:22.906609,99
pre_anneal,0:00:24.829399,313
karmarkar,0:00:00.003735,5452
random,0:00:02.364414,106843282
hill,0:00:00.392681,174698884
anneal,0:00:00.411855,319242246
pre_rand,0:00:28.685747,76
pre_hill,0:00:25.824108,80
pre_anneal,0:00:26.074388,416
karmarkar,0:00:00.004047,132758
random,0:00:02.386488,43075850
hill,0:00:00.395613,89916860
anneal,0:00:00.418806,47614598
pre_rand,0:00:29.038798,350
pre_hill,0:00:28.726130,74
pre_anneal,0:00:26.315450,1540
karmarkar,0:00:00.001448,204828
random,0:00:02.390852,1265959126
hill,0:00:00.396675,184225250
anneal,0:00:00.417804,39989174
pre_rand,0:00:29.075016,194
pre_hill,0:00:26.005774,112
pre_anneal,0:00:26.166206,40
karmarkar,0:00:00.001449,134713
random,0:00:02.392615,55032925
hill,0:00:00.393754,20936549
anneal,0:00:00.420058,472780729
pre_rand,0:00:29.017801,51
pre_hill,0:00:25.999070,57
pre_anneal,0:00:26.144410,147
karmarkar,0:00:00.002826,446572
random,0:00:02.403115,213316858
hill,0:00:00.399625,138290188
anneal,0:00:00.424015,393430746
pre_rand,0:00:29.258221,94
pre_hill,0:00:25.993360,166
pre_anneal,0:00:26.180494,1778
karmarkar,0:00:00.001451,104648
random,0:00:02.430929,506759664
hill,0:00:00.396306,90195286
anneal,0:00:00.422064,838750180
pre_rand,0:00:29.211495,202
